¶ Linstruction des	¶ L'instruction des
cõe soymesme/ est plus q̃ toutes les obla	comme soymesme/ est plus que toutes les obla¬
tions bruslees ⁊ sacrifices. Marc.12.c.	tions bruslees et sacrifices. Marc.12.c.
¶ Et Iesus uoyãt quil auoit	¶ Et Jesus voyant qu'il avoit
respõdu sagemẽt/ luy dit.	respondu sagement/ luy dit.
Tu nes point loing du royaume de	Tu n'es point loing du royaume de
Dieu. Marc.12.c.	Dieu. Marc.12.c.
¶ Ces deux cõmandemẽs repetez en le¬	¶ Ces deux commandemens repetez en l'e¬
uãgile sont extraictz du. 5.Moyse.6.a.	vangile sont extraictz du. 5.Moyse.6.a.
et .3.Moyse.19.d.	et .3.Moyse.19.d.
¶ Sainct Iehan.13.d.	¶ Sainct Jehan.13.d.
Ie uous donne un nouueau cõmandement que	Je vous donne un nouveau commandement que
uous aymez lun lautre/ comme ie uous ay ayme:	vous aymez l'un l'autre/ comme je vous ay ayme:
affin que aussi uous uous aymiez lun lautre. En	affin que aussi vous vous aymiez l'un l'autre. En
cela tous cõgnoistront q̃ uous estes mes disciples/	cela tous congnoistront que vous estes mes disciples/
que uous auez dilection lun a lautre.	que vous avez dilection l'un a l'autre.
¶ Item. 1.Iehan.4.d.	¶ Item. 1.Jehan.4.d.
Nous donc aymons le: car iceluy premier nous	Nous donc aymons le: car iceluy premier nous
a ayme. Se aucun dit: ie ayme dieu/ ⁊ il hayt sõ fre	a ayme. Se aucun dit: je ayme dieu/ et il hayt son fre¬
re: il est menteur. Car qui nayme point son frere	re: il est menteur. Car qui n'ayme point son frere
quil uoit/ comment poeut il aymer Dieu/ quil ne	qu'il voit/ comment poeut il aymer Dieu/ qu'il ne
uoit point? Et nous auons ce commandemẽt: que	voit point? Et nous avons ce commandement: que
celuy qui ayme dieu/ quil ayme aussi son frere.	celuy qui ayme dieu/ qu'il ayme aussi son frere.
¶ Sainct Paul. Rom̃.13.c.	¶ Sainct Paul. Rom̃.13.c.
Ne deuez rien a personne: sinon que uous ay¬	Ne devez rien a personne: sinon que vous ay¬
miez lun lautre. Car qui ayme son prochain: il a	miez l'un l'autre. Car qui ayme son prochain: il a
accomply la loy. Car tu ne seras point adultere.	accomply la loy. Car tu ne seras point adultere.
Tu ne occiras point. Tu ne desroberas point.	Tu ne occiras point. Tu ne desroberas point.
Tu ne diras point faux tesmoignage. Tu ne cõ¬	Tu ne diras point faux tesmoignage. Tu ne con¬
uoiteras point. Et sil ya aucun autre comman¬	voiteras point. Et s'il y a aucun autre comman¬
dement: il est sommairement cõpris en ceste parol¬	dement: il est sommairement compris en ceste parol¬
le: cest ascauoir. Tu aymeras ton prochain com¬	le: c'est ascavoir. Tu aymeras ton prochain com¬
me toymesme. La dilection ne faict au prochain	me toymesme. La dilection ne faict au prochain
nul mal. La consummation donc de la loy/ est	nul mal. La consummation donc de la loy/ est
dilection.	dilection.
¶ Item Gala.5.c.	¶ Item Gala.5.c.
Toute la loy est accomplie en une parolle: Tu	Toute la loy est accomplie en une parolle: Tu
aymeras ton prochain comme toymesme.	aymeras ton prochain comme toymesme.
¶ Item 1.Timoth.1.a.	¶ Item 1.Timoth.1.a.
La fin du commandement est charite/ de coeur	La fin du commandement est charite/ de coeur
pur/ ⁊ de bonne conscience/ ⁊ de foy non feinte.	pur/ et de bonne conscience/ et de foy non feinte.
¶ La fin de laccõplissement de la loy/	¶ La fin de l'accomplissement de la loy/
en Christ ⁊ par Christ.	en Christ et par Christ.
Ie ne suis point uenu rompre la loy/ mais laccõ	Je ne suis point venu rompre la loy/ mais l'accom¬
plir. Matth.5.c.	plir. Matth.5.c.
La loy ne meine rien a perfectiõ: mais est lintro	La loy ne meine rien a perfection: mais est l'intro¬
duction de meilleure esperance/ par laquelle appro	duction de meilleure esperance/ par laquelle appro¬
chons a dieu. Heb.7.c.	chons a dieu. Heb.7.c.
Si la ꝑolle qͥ a este dicte par les anges a este fai¬	Si la parolle qui a este dicte par les anges a este fai¬
cte ferme/ ⁊ se toute trãsgressiõ ⁊ inobediẽce a receu	cte ferme/ et se toute transgression et inobedience a receu
iuste retributiõ du loyer: cõmẽt euiterõs noꝰ se noꝰ	juste retribution du loyer: comment eviterons nous se nous
mettõs a non chalãce si grãd salut? Lequel cõme	mettons a nonchalance si grand salut? Lequel comme
ainsi soit quil ayt cõmẽce destre racõte par nostre	ainsi soit qu'il ayt commence d'estre raconte par nostre
Seigneur: il a este cõferme en noꝰ par ceux qͥ lont	Seigneur: il a este conferme en nous par ceux qui l'ont
ouy/ ⁊ approuue de dieu par signes ⁊ miracles ⁊ di	ouy/ et approuve de dieu par signes et miracles et di¬
uerses puissances ⁊ distributions du sainct esperit	verses puissances et distributions du sainct esperit
selon sa uolunte. Heb.2.a.	selon sa volunte. Heb.2.a.
La fin de la loy/ est Christ/ en salut a tout	La fin de la loy/ est Christ/ en salut a tout
croyant. Rom̃.10.a.	croyant. Rom̃.10.a.
La loy de lesperit de uie en Iesus Christ/ ma	La loy de l'esperit de vie en Jesus Christ/ m'a
deliure de la loy de peche et de mort. Car ce qui	delivre de la loy de peche et de mort. Car ce qui
estoit impossible a la loy/ en ce en quoy elle estoit	estoit impossible a la loy/ en ce en quoy elle estoit
infirme par la chair: Dieu a enuoye son filz en si¬	infirme par la chair: Dieu a envoye son filz en si¬
militude de la chair de peche/ et de peche a cõdem¬	militude de la chair de peche/ et de peche a condem¬
ne le peche en la chair/ affin que la iustification	ne le peche en la chair/ affin que la justification
de la loy fusse accomplie en nous qui ne chemi¬	de la loy fusse accomplie en nous qui ne chemi¬
nons point selon la chair/ mais selon lesperit ⁊c.	nons point selon la chair/ mais selon l'esperit etc.
Romains.8.a.	Romains.8.a.
Il est nostre paix/ leq̃l a faict de tous les deux	Il est nostre paix/ lequel a faict de tous les deux
un/ ⁊ a rõpu la paroy du milieu de la closture/ les	un/ et a rompu la paroy du milieu de la closture/ les
inimitiez/ par sa chair: mettant a neant la loy des	inimitiez/ par sa chair: mettant a neant la loy des
cõmandemẽs qui estoit en decretz: affin quil consti	commandemens qui estoit en decretz: affin qu'il consti¬
tue deux en soymesme en un hõme nouueau/ fai¬	tue deux en soymesme en un homme nouveau/ fai¬
sant paix/ affin quil rallia les deux a Dieu en un	sant paix/ affin qu'il rallia les deux a Dieu en un
corps/ par la croix/ destruisant les inimitiez par	corps/ par la croix/ destruisant les inimitiez par
soymesme. Ephe.2.d.	soymesme. Ephe.2.d.
¶ A ce propos principallemẽt faict Lepistre	¶ A ce propos principallement faict L'epistre
aux Rõmains/ Gala. Ephe. ⁊ Hebr.	aux Rommains/ Gala. Ephe. et Hebr.
¶ Le cõmandement que Dieu faict aux	¶ Le commandement que Dieu faict aux
peres ⁊ maistres de familles/ affin quilz	peres et maistres de familles/ affin qu'ilz
ꝓposent ⁊ enseignẽt sa loy/ principalle¬	proposent et enseignent sa loy/ principalle¬
ment a leurs domestiques.	ment a leurs domestiques.
Et ces parolles cy/ lesquelles moy	Et ces parolles cy/ lesquelles moy¬
mesme te cõmande au iourdhuy/ seront	mesme te commande aujourdhuy/ seront
en ton coeur/ ⁊ les racõteras a tes filz/ et	en ton coeur/ et les raconteras a tes filz/ et
leur diras/ toy estant assis en ta maison	leur diras/ toy estant assis en ta maison
⁊ cheminant en la uoye/ ⁊ en te couchãt	et cheminant en la voye/ et en te couchant
⁊ en te leuant. Et les lieras pour signe	et en te levant. Et les lieras pour signe
sur ta main/ ⁊ seront pour frõteaux en¬	sur ta main/ et seront pour fronteaux en¬
tre tes yeux/ ⁊ les escriras a lentree de	tre tes yeux/ et les escriras a l'entree de
ta maison/ ⁊ a tes portes. 5.Moy.6.b.	ta maison/ et a tes portes. 5.Moy.6.b.
¶ Cõment ne faut adiouster ne dimi¬	¶ Comment ne faut adjouster ne dimi¬
nuer/ a la loy ⁊ parolle de Dieu/ mais	nuer/ a la loy et parolle de Dieu/ mais
la garder songneusemẽt sans decliner	la garder songneusement sans decliner
a dextre ou a senestre.	a dextre ou a senestre.
Uous ne adiousterez aux parolles/	Vous ne adjousterez aux parolles/
lesquelles moymesme uous cõmande ⁊	lesquelles moymesme vous commande et
⁊ nen diminuerez dicelles. 5.Moy.4.a.	et n'en diminuerez d'icelles. 5.Moy.4.a.
Toutes les parolles lesq̃lles moy¬	Toutes les parolles lesquelles moy¬
mesme ie uous cõmande/ uous les gar¬	mesme je vous commande/ vous les gar¬
derez pour les faire sãs adiouster a icel	derez pour les faire sans adjouster a icel¬
les ne diminuer dicelles. 5.Moy.12.d.	les ne diminuer d'icelles. 5.Moy.12.d.
Uous les garderez pour les faire/ cõ¬	Vous les garderez pour les faire/ com¬
me Leternel uostre dieu les a comman	me L'eternel vostre dieu les a comman¬
de/ sans decliner ne a dextre ne a sene¬	de/ sans decliner ne a dextre ne a sene¬
stre. 5.Moyse.5.d.	stre. 5.Moyse.5.d.
Tu ne adiousteras poĩt a ses parol¬	Tu ne adjousteras point a ses parol¬
les/ affin quil ne te reprenne/ ⁊ que soye	les/ affin qu'il ne te reprenne/ et que soye
trouue menteur. Prouer.30.a.	trouve menteur. Prover.30.a.
Ia soit que nous/ ou un ange du ciel	Ja soit que nous/ ou un ange du ciel
uous euangelize autrement que ce que	vous evangelize autrement que ce que
nous uous auons euangelize: il soit en	nous vous avons evangelize: il soit en
malediction. Ainsi que nous auons dit	malediction. Ainsi que nous avons dit
deuant: ⁊ maintenãt encore ie le dy: Se	devant: et maintenant encore je le dy: Se
aucun uous euangelize autrement que	aucun vous evangelize autrement que
ce que uous auez receu: il soit en maledi	ce que vous avez receu: il soit en maledi¬
ction. Gala.1.b.	ction. Gala.1.b.
¶ Sur la salutation angelicque/	¶ Sur la salutation angelicque/
autrement dicte le	autrement dicte le
Aue maria.	Ave maria.
¶ Pour lintelligẽce de la salutation angelique	¶ Pour l'intelligence de la salutation angelique
assez amplement en est deduyt en lexplication des	assez amplement en est deduyt en l'explication des
articles: ausquelz auras recours. Toutesfoys icy	articles: ausquelz auras recours. Toutesfoys icy
noteras/ la difference de oraison/ ⁊ salutation. Car	noteras/ la difference de oraison/ et salutation. Car
oraison est priere/ requeste et demande faicte enuers	oraison est priere/ requeste et demande faicte envers
dieu: comme/ Ton royaume aduienne/ Donne	dieu: comme/ Ton royaume advienne/ Donne
nous auiourdhuy nr̃e pain quotidien ⁊c. Salu¬	nous aujourdhuy nostre pain quotidien etc. Salu¬
tation est benediction/ bien uouloir/ et gracieux	tation est benediction/ bien vouloir/ et gracieux
accueil: comme quand la personne/ salue lautre/	accueil: comme quand la personne/ salue l'autre/
disant: Dieu te salue ⁊ garde. Dieu te doint bon	disant: Dieu te salue et garde. Dieu te doint bon
iour/ ou bon soir/ Paix a toy. Beneit soys tu/ ⁊c.	jour/ ou bon soir/ Paix a toy. Beneit soys tu/ etc.
Laquelle forme de saluer/ a tenu Lange uers Ma	Laquelle forme de saluer/ a tenu L'ange vers Ma¬
rie en sainct Luc.1. Item en Daniel.10.b. Item	rie en sainct Luc.1. Item en Daniel.10.b. Item
uers Gedeon. Iuges.6.d. Item Iesus Christ	vers Gedeon. Juges.6.d. Item Jesus Christ
uers ses apostres. Iehan.20.e. Item S. Paul ⁊	vers ses apostres. Jehan.20.e. Item Sainct Paul et
S. Pierre/ au commencement de leurs epistres.	Sainct Pierre/ au commencement de leurs epistres.
¶ Exemples des uertueuses femmes	¶ Exemples des vertueuses femmes
qui pareillement ont este benites	qui pareillement ont este benites
en lescripture.	en l'escripture.
Ioachin le grand prestre uint de Hierusalem	Joachin le grand prestre vint de Hierusalem
en Bethulie auec tous ses prestres pour ueoir Iu¬	en Bethulie avec tous ses prestres pour veoir Ju¬
dith. Et quãd elle fut uenue uers luy: ilz la benei¬	dith. Et quand elle fut venue vers luy: ilz la benei¬
rent/ disãs tous dune uoix: Tu es la gloire de Hie¬	rent/ disans tous d'une voix: Tu es la gloire de Hie¬
rusalem/ tu es la liesse de Israel: tu es lhõneur de	rusalem/ tu es la liesse de Israel: tu es l'honneur de
nr̃e peuple: qͥ as ouure uirilement/ et ton coeur a	nostre peuple: qui as ouvre virilement/ et ton coeur a
este conforte/ pour ce que tu as ayme chastete/ ⁊ que	este conforte/ pour ce que tu as ayme chastete/ et que
apres ton mary/ tu nen a point congneu dautre:	apres ton mary/ tu n'en a point congneu d'autre:
pourtant aussi ta conforte la main du seigneur: et	pourtant aussi t'a conforte la main du seigneur: et
pource seras tu ditte bienheureuse eternellement.	pour ce seras tu ditte bienheureuse eternellement.
Et tout le peuple dit: Ainsi soit il: Ainsi soit il.	Et tout le peuple dit: Ainsi soit il: Ainsi soit il.
Iudith.15.d.	Judith.15.d.
Beneite soit entre les femmes/ Iael la femme de	Beneite soit entre les femmes/ Iael la femme de
Aber Cyneen/ ⁊ soit beneite en son tabernacle.	Aber Cyneen/ et soit beneite en son tabernacle.
Iuges.5.d.	Juges.5.d.
Lia dit: Cest pour ma beatitude. Car les fẽmes	Lia dit: C'est pour ma beatitude. Car les femmes
me diront bienheureuse. Geñ.30.b.	me diront bienheureuse. Geñ.30.b.
O fille tu es benite/ du seigneͬ le Dieu souue¬	O fille tu es benite/ du seigneur le Dieu souve¬
rain par dessus toutes les femmes/ qui sont sur la	rain par dessus toutes les femmes/ qui sont sur la
terre. Iudith.13.c.	terre. Judith.13.c.
¶ Pour laquelle cause la uierge	¶ Pour laquelle cause la vierge
Marie fut dicte bien¬	Marie fut dicte bien¬
heureuse.	heureuse.
Beneite es tu qui a creu: car les choses qui	Beneite es tu qui a creu: car les choses qui
te ont este dittes du seigneur Dieu/ seront parfai¬	te ont este dittes du seigneur Dieu/ seront parfai¬
ctes. Luc.1.e.	ctes. Luc.1.e.
¶ Cõment aussi seront bienheureux	¶ Comment aussi seront bienheureux
ceux qui croiront a la parolle.	ceux qui croiront a la parolle.
Bienheureux est le uẽtre qui ta porte: ⁊ les mã¬	Bienheureux est le ventre qui t'a porte: et les mam¬
melles que tu as succees. Et iceluy dit: Mais cer¬	melles que tu as succees. Et iceluy dit: Mais cer¬
tes/ bienheureux sont ceux qui oyent la parolle de	tes/ bienheureux sont ceux qui oyent la parolle de
dieu/ ⁊ la gardent. Luc.11.d.	dieu/ et la gardent. Luc.11.d.
¶ Admonition quãd on se assemble pour	¶ Admonition quand on se assemble pour
enseigner/ ou prendre sa refection.	enseigner/ ou prendre sa refection.
Quãd uous cõuenez ensemble/ un chascun de	Quand vous convenez ensemble/ un chascun de
uoꝰ a psalme/ il a doctrine/ il a lãguaige/ ⁊ il a re¬	vous a psalme/ il a doctrine/ il a languaige/ et il a re¬
uelation/ il a interpretation: toute chose soit faicte	velation/ il a interpretation: toute chose soit faicte
a edification. 1.Corin.14.e.	a edification. 1.Corin.14.e.
Donc soit que uous mangez/ soit que uoꝰ beu¬	Donc soit que vous mangez/ soit que vous beu¬
uez/ ou que uous faciez quelque autre chose: fai¬	vez/ ou que vous faciez quelque autre chose: fai¬
ctes les toutes/ pour la gloire de dieu. 1.Cor.10.g.	ctes les toutes/ pour la gloire de dieu. 1.Cor.10.g.
Certes lesperit dit manifestement que aux der¬	Certes l'esperit dit manifestement que aux der¬
niers tẽps/ aucuns delaisserõt la foy prestans lau¬	niers temps/ aucuns delaisseront la foy prestans l'au¬
reille aux esperitz derreur: ⁊ aux doctrines des dia¬	reille aux esperitz d'erreur: et aux doctrines des dia¬
bles/ par lhypocrisie de ceux qui parlent menson¬	bles/ par l'hypocrisie de ceux qui parlent menson¬
ges ⁊ ont leur consciẽce cauterizee/ defendans soy	ges et ont leur conscience cauterizee/ defendans soy
marier/ cõmandãs de se abstenir des uiandes les¬	marier/ commandans de se abstenir des viandes les¬
quelles dieu a cree pour en user auec action de gra¬	quelles dieu a cree pour en user avec action de gra¬
ces aux fideles/ ⁊ a ceux qui ont cõgneu la uerite.	ces aux fideles/ et a ceux qui ont congneu la verite.
Car toute creature de dieu est bonne: ⁊ nulle nest a	Car toute creature de dieu est bonne: et nulle n'est a
reiecter de laquelle on use auec actiõ de graces. Car	rejecter de laquelle on use avec action de graces. Car
elle est sanctifiee par la parolle de dieu/ ⁊ par orai¬	elle est sanctifiee par la parolle de dieu/ et par orai¬
son. 1.Timothee.4.	son. 1.Timothee.4.
Exemple de Christ.	Exemple de Christ.
Iesus print du pain/ ⁊ en rẽdant graces le rom¬	Jesus print du pain/ et en rendant graces le rom¬
pit ⁊ le donna a ses disciples ⁊c. Et quãd ilz eurent	pit et le donna a ses disciples etc. Et quand ilz eurent
dit la louenge/ ilz se partirent. Matth.26.c.	dit la louenge/ ilz se partirent. Matth.26.c.
¶ Forme doraison deuant le repas.	¶ Forme d'oraison devant le repas.
Dieu ayt pitie de nous: ⁊ nous benye/ ⁊ face re¬	Dieu ayt pitie de nous: et nous benye/ et face re¬
luyre sa face sur nous. Affin que lon cõgnoisse en	luyre sa face sur nous. Affin que l'on congnoisse en
la terre ta uoye/ ⁊ entre toutes gẽs tõ salut. ps̈.67.a	la terre ta voye/ et entre toutes gens ton salut. ps̈.67.a
¶ Autre.	¶ Autre.
Toutes choses quelcõques/ q̃ uous faciez en pa	Toutes choses quelconques/ que vous faciez en pa¬
rolle/ ou en oeuure: faictes les toutes au nom de	rolle/ ou en oeuvre: faictes les toutes au nom de
nostre seigñr Iesus Christ/ rendans graces a dieu	nostre seigneur Jesus Christ/ rendans graces a dieu
⁊ au pere par luy. Colos.3.c.	et au pere par luy. Colos.3.c.
¶ Autre.	¶ Autre.
Beneit soit dieu/ ⁊ le pere de nostre seigñr Iesus	Beneit soit dieu/ et le pere de nostre seigneur Jesus
Christ/ qui nous a beneit en toute benediction spiri	Christ/ qui nous a beneit en toute benediction spiri¬
tuelle/ es choses celestes en Christ: selon ce qͥl nous	tuelle/ es choses celestes en Christ: selon ce qu'il nous
a esleu en luy deuãt la cõstitution du mõde: affin	a esleu en luy devant la constitution du monde: affin
que nous fussions sainctz/ ⁊ sans reprehension/ de¬	que nous fussions sainctz/ et sans reprehension/ de¬
uant luy en charite. Ephe.1.a.	vant luy en charite. Ephe.1.a.
¶ Autre oraison.	¶ Autre oraison.
A celuy qui est puissant de faire toutes choses	A celuy qui est puissant de faire toutes choses
plus abondãment q̃ ne demandõs/ ne apperceuõs	plus abondamment que ne demandons/ ne appercevons
selon la puissance/ laquelle oeuure en nous: a ice¬	selon la puissance/ laquelle oeuvre en nous: a ice¬
luy soit gloire en leglise par Iesꝰ Christ/ en toutes	luy soit gloire en l'eglise par Jesus Christ/ en toutes
les generatiõs du siecle des siecles. Amẽ. Eph.3.d	les generations du siecle des siecles. Amen. Eph.3.d
¶ Admonition/ pour la recongnoissance des	¶ Admonition/ pour la recongnoissance des
biens que auons receu de dieu.	biens que avons receu de dieu.
Quand tu auras mange/ ⁊ que sera repeu: prẽs	Quand tu auras mange/ et que sera repeu: prens
garde a toy que tu ne oublie Leternel/ lequel ta re	garde a toy que tu ne oublie L'eternel/ lequel ta re¬
tire du pays Degypte/ de la maison de seruitude.	tire du pays D'egypte/ de la maison de servitude.
5.Moyse.6.c.	5.Moyse.6.c.
¶ Oraison ⁊ louenge apres le repas.	¶ Oraison et louenge apres le repas.
Au roy des siecles/ immortel/ inuisible/ a Dieu	Au roy des siecles/ immortel/ invisible/ a Dieu
seul saige soit honneur ⁊ gloire eis siecles des sie¬	seul saige soit honneur et gloire eis siecles des sie¬
cles. Amen. 1.Timothee.1.d.	cles. Amen. 1.Timothee.1.d.
Louenge ⁊ honneur ⁊ gloire ⁊ puissance/ soit a	Louenge et honneur et gloire et puissance/ soit a
celuy qͥ est assis au throne ⁊ a laigneau eis siecles	celuy qui est assis au throne et a l'aigneau eis siecles
des siecles. Amen. Apocalip.5.d.	des siecles. Amen. Apocalip.5.d.
¶ Autre.	¶ Autre.
Louenge ⁊ clairte/ ⁊ sapiẽce/ ⁊ action de graces/	Louenge et clairte/ et sapience/ et action de graces/
hõneur/ uertu/ ⁊ force a nostre Dieu eis siecles des	honneur/ vertu/ et force a nostre Dieu eis siecles des
siecles. Amen. Apocalip.7.c.	siecles. Amen. Apocalip.7.c.
¶ Generale benediction.	¶ Generale benediction.
Tu prieras ainsi la benediction estre faicte aux	Tu prieras ainsi la benediction estre faicte aux
enfãs Disrael/ ⁊ leur diras: Dieu te benye/ ⁊ te	enfans D'israel/ et leur diras: Dieu te benye/ et te
garde/ Dieu te mõstre sa face/ ⁊ ayt misericorde	garde/ Dieu te monstre sa face/ et ayt misericorde
de toy/ Dieu uueille tourner sa face uers toy/ ⁊	de toy/ Dieu vueille tourner sa face vers toy/ et
te dõne paix. Ilz inuoquerõt mon nom sur les	te donne paix. Ilz invoqueront mon nom sur les
enfans Disrael/ ⁊ ie les beniray. 4.Moyse.6.d.	enfans D'israel/ et je les beniray. 4.Moyse.6.d.
¶ Autre benedictiõ sur ceux qui gardent	¶ Autre benediction sur ceux qui gardent
le uouloir ⁊ cõmandement de Dieu.	le vouloir et commandement de Dieu.
Si tu escoute la uoix du Seigñr ton Dieu ⁊c.	Si tu escoute la voix du Seigneur ton Dieu etc.
5.Moyse.28.	5.Moyse.28.
Querez premierement le royaume de Dieu ⁊ sa	Querez premierement le royaume de Dieu et sa
iustice: et toutes choses uous seront adioustees.	justice: et toutes choses vous seront adjoustees.
Matthieu.6.d.	Matthieu.6.d.
¶ Fais ce/ ⁊ tu uiuras. Luc.10.	¶ Fais ce/ et tu vivras. Luc.10.
¶ Aduertissement au lecteur/ pour les	¶ Advertissement au lecteur/ pour les
noms des liures de la	noms des livres de la
saincte Bible.	saincte Bible.
¶ Pour donner a congnoistre aux enfans les	¶ Pour donner a congnoistre aux enfans les
noms des liures de la Bible/ icy les auons sub¬	noms des livres de la Bible/ icy les avons sub¬
scritz. Mais cõsiderans la corruption ⁊ mutation	scritz. Mais considerans la corruption et mutation
des noms/ qui souuẽt aduiẽnent (cõe dit Strabo)	des noms/ qui souvent adviennent (come dit Strabo)
eis langues estrangieres (ce que est escheu entre les	eis langues estrangieres (ce que est escheu entre les
grecz des noms Hebrieux: dõt sen cõplaint Ioseph.	grecz des noms Hebrieux: dont s'en complaint Joseph.
Et aussi S. Hierosme: tant des latins q̃ des grecz)	Et aussi Sainct Hierosme: tant des latins que des grecz)
auõs tasche aucunemẽt icy restituer lesdictz noms	avons tasche aucunement icy restituer lesdictz noms
Hebrieux: a cause de leur etymologie/ ⁊ significa¬	Hebrieux: a cause de leur etymologie/ et significa¬
tion/ qui nest point de petite utilite: pour mieux	tion/ qui n'est point de petite utilite: pour mieux
entẽdre les histoires/ matieres/ ⁊ mysteres de lescri¬	entendre les histoires/ matieres/ et mysteres de l'escri¬
pture saincte. Cõme cy apres (dieu aydant) nous	pture saincte. Comme cy apres (dieu aydant) nous
demonstrerons amplement au cayer des interpre¬	demonstrerons amplement au cayer des interpre¬
tations des noms propres/ contenus en la saincte	tations des noms propres/ contenus en la saincte
Bible. Au surplus pour la grande difficulte de la	Bible. Au surplus pour la grande difficulte de la
prononciation de la langue estrangiere/ laquelle	prononciation de la langue estrangiere/ laquelle
aucunesfoys ne se peut (cõme dit Pline) deument	aucunesfoys ne se peut (comme dit Pline) deument
prononcer: auons suyui la plus doulce prononcia	prononcer: avons suyvi la plus doulce prononcia¬
tion des Hebrieux/ qui est sans poinctz/ cõme	tion des Hebrieux/ qui est sans poinctz/ comme
iadis estoit: lappropriãt a nostre usai¬	jadis estoit: l'appropriant a nostre usai¬
ge/ en reiectant la rudesse/ ou	ge/ en rejectant la rudesse/ ou
trop superstitieuse	trop superstitieuse
orthographie	orthographie
dicelle.	d'icelle.
¶ Les noms des liures Canoniques	¶ Les noms des livres Canoniques
de la saincte Bible.	de la saincte Bible.
1.Moyse/ autremẽt Genese/ cõtient Chap.50.	1.Moyse/ autrement Genese/ contient Chap.50.
2.Moyse/ autrement Exode/ contient Chap̃.40.	2.Moyse/ autrement Exode/ contient Chap̃.40.
3.Moyse/ autrement Leuitique/ cõtiẽt Chap̃.27.	3.Moyse/ autrement Levitique/ contient Chap̃.27.
4.Moyse/ autremẽt Nombres/ cõtient Chap̃.36.	4.Moyse/ autrement Nombres/ contient Chap̃.36.
5.Moyse/ autremẽt Deuterono. cõtiẽt Chap̃.34.	5.Moyse/ autrement Deuterono. contient Chap̃.34.
Iehosue/ autrement Iosue/ contient Chap̃.24.	Jehosue/ autrement Josue/ contient Chap̃.24.
Iuges/ contient Chap̃.21.	Juges/ contient Chap̃.21.
Ruth/ contient Chap̃.4.	Ruth/ contient Chap̃.4.
1.Semuel/ autremẽt. 1.des Roix/ cõtient Chap̃.31.	1.Semuel/ autrement. 1.des Roix/ contient Chap̃.31.
2Semuel/ autremẽt. 2.des Roix/ cõtiẽt Chap̃.24.	2.Semuel/ autrement. 2.des Roix/ contient Chap̃.24.
1.des Roix/ autrement 3. contient Chap̃.22.	1.des Roix/ autrement 3. contient Chap̃.22.
2.des Roix/ autrement 4. contient Chap̃.25.	2.des Roix/ autrement 4. contient Chap̃.25.
1.des Croniq̃s/ autre. Paralipome. cõtiẽt Cha.29.	1.des Croniques/ autre. Paralipome. contient Cha.29.
2.des Croniq̃s/ autre. Paralipome. ꝯtiẽt Chap̃.36.	2.des Croniques/ autre. Paralipome. contient Chap̃.36.
1.Ezra/ autremẽt Esdras/ contient Chap̃.10.	1.Ezra/ autrement Esdras/ contient Chap̃.10.
Nehemiah/ autremẽt. 2.Esdras/ cõtient Chap̃.13.	Nehemiah/ autrement. 2.Esdras/ contient Chap̃.13.
Esther/ contient Chap̃.10.	Esther/ contient Chap̃.10.
Iob/ contient Chap̃.42.	Job/ contient Chap̃.42.
Le liure des Psalmes/ contient. 150.	Le livre des Psalmes/ contient. 150.
Prouerbes ou sentẽces de Solomõ/ cõtiẽt Cha.31.	Proverbes ou sentences de Solomon/ contient Cha.31.
Ecclesiaste/ autremẽt le prescheur/ cõtiẽt Chap̃.12.	Ecclesiaste/ autrement le prescheur/ contient Chap̃.12.
Les Cantiques de Solomon/ contient Chap.8.	Les Cantiques de Solomon/ contient Chap.8.
Iesaiah/ autrement Esaie/ contient Chap̃.66.	Iesaiah/ autrement Esaie/ contient Chap̃.66.
Ieremiah/ autrement Ieremie/ cõtient Chap̃.52.	Jeremiah/ autrement Jeremie/ contient Chap̃.52.
Lamentations de Ieremie/ autrement Threnes/	Lamentations de Jeremie/ autrement Threnes/
contient Chapitres.5.	contient Chapitres.5.
Iehezeciel/ autrement Ezechiel/ cõtient Chap.48.	Iehezeciel/ autrement Ezechiel/ contient Chap.48.
Daniel/ contient Chap̃.12.	Daniel/ contient Chap̃.12.
Hosee/ autrement Osee/ cõtient Chap̃.14.	Hosee/ autrement Osee/ contient Chap̃.14.
Ioel/ contient Chap̃.3.	Joel/ contient Chap̃.3.
Amos/ contient Chap̃.9.	Amos/ contient Chap̃.9.
Obdiah/ autrement Abdee/ contient Chap̃.1.	Obdiah/ autrement Abdee/ contient Chap̃.1.
Ionah/ autrement Ionas/ contient Chap̃.4.	Jonah/ autrement Jonas/ contient Chap̃.4.
Michah/ autrement Michee/ cõtient Chap̃.7.	Michah/ autrement Michee/ contient Chap̃.7.
Nahum/ autrement Naum/ contient Chap̃.3.	Nahum/ autrement Naum/ contient Chap̃.3.
Habacuc/ autrement Abacuc/ contient Chap̃.3.	Habacuc/ autrement Abacuc/ contient Chap̃.3.
Zephaniah/ autremẽt Sophonias/ cõtiẽt Cha.3.	Zephaniah/ autrement Sophonias/ contient Cha.3.
Haggee/ autrement Aggee/ contient Chap̃.2.	Haggee/ autrement Aggee/ contient Chap̃.2.
Zechariah/ autrement zacharie/ cõtient Chap̃.14.	Zechariah/ autrement zacharie/ contient Chap̃.14.
Malachie/ contiẽt Chap̃.4.	Malachie/ contient Chap̃.4.
