¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
donnance de Dieu inestimable/ iu¬	donnance de Dieu inestimable/ ju¬
miracles/ ⁊ autres choses/ auant le	miracles/ et autres choses/ avant le
tẽps que nostre Seigñr uiẽne. Car	temps que nostre Seigneur vienne. Car
poͬ les miracles ne telles choses on	pour les miracles ne telles choses on
nest point sainct. Ie laisse les mira	n’est point sainct. Je laisse les mira¬
aussi faictz par les reprouuez. Et	aussi faictz par les reprouvez. Et
ceulx que Dieu a ayme grãdemẽt	ceulx que Dieu a ayme grandement
(cõme plusieurs ꝓphetes/ ⁊ Iehan	(comme plusieurs prophetes/ et Jehan
baptiste) nõt faict aucũs miracles.	baptiste) n’ont faict aucuns miracles.
Dieu/ ⁊ nõ aux creatures/ ceremo¬	Dieu/ et non aux creatures/ ceremo¬
nies/ sacremẽtz: ou autre chose que	nies/ sacrementz: ou autre chose que
lhõe puisse administrer. Dieu seul	l’home puisse administrer. Dieu seul
sauue ⁊ dõne uie ainsi qͥl a dispose/	sauve et donne vie ainsi qu’il a dispose/
soit accõplie ou en uie/ ou en mort.	soit accomplie ou en vie/ ou en mort.
Mais cecy ne peuuẽt uouloir q̃	Mais cecy ne peuvent vouloir que
les filz qui desirent la uolunte de	les filz qui desirent la volunte de
leur pere estre faicte.	leur pere estre faicte.
loccasion uient/ ⁊ que nostre Seigͬ	l’occasion vient/ et que nostre Seigneur
oeuure en eulx) se mõstrẽt estre des	oeuvre en eulx) se monstrent estre des
enfans de Dieu. Est ce en hypocri¬	enfans de Dieu. Est ce en hypocri¬
sie/ papelardise/ barbotterie/ distin¬	sie/ papelardise/ barbotterie/ distin¬
lementz/ ou de lieux? En cecy ne se	lementz/ ou de lieux? En cecy ne se
declaire lesperit de Dieu/ leq̃l tire	declaire l’esperit de Dieu/ lequel tire
le coeur de lesleu/ ⁊ faict quil ayme	le coeur de l’esleu/ et faict qu’il ayme
⁊ hõnore Dieu/ mettãt sa fiance en	et honnore Dieu/ mettant sa fiance en
rite enuers le prochain: auq̃l il sert	rite envers le prochain: auquel il sert
⁊ ayde pour lhonneur de Dieu/ en	et ayde pour l’honneur de Dieu/ en
telle affection/ cõme sil le faisoit a	telle affection/ comme s’il le faisoit a
Dieu. Lequel en soymesme na nul	Dieu. Lequel en soymesme n’a nul
de boire/ ne de mãger/ ne de maisõ/	de boire/ ne de manger/ ne de maison/
ne de robbe: mais en nostre ꝓchain	ne de robbe: mais en nostre prochain
ueult estre seruy/ tellement q̃ ce que	veult estre servy/ tellement que ce que
nous luy faisons/ nous le faisõs a	nous luy faisons/ nous le faisons a
du iugement: Iay eu faim/ ⁊ uous	du jugement: J’ay eu faim/ et vous
dõne a boire. Iay este sans logis/ ⁊	donne a boire. J’ay este sans logis/ et
mauez dõne a mãger: soif/ ⁊ mauez	m’avez donne a manger: soif/ et m’avez
mauez receu auec uous: nud/ ⁊ ma	m’avez receu avec vous: nud/ et m’a¬
en prison/ ⁊ estes uenu a moy. Par	en prison/ et estes venu a moy. Par
cecy donnãt a entendre q̃ toutes les	cecy donnant a entendre que toutes les
necessitez ⁊ indigẽces que uoyõs en	necessitez et indigences que voyons en
nostre frere/ luy deuõs secourir. Car	nostre frere/ luy devons secourir. Car
enuoye pour leur ayder (cest ausq̃lz	envoye pour leur ayder (c’est ausquelz
nous pouuõs biẽ faire) pour uray	nous pouvons bien faire) pour vray
nous leur deuõs ayder ⁊ secourir.	nous leur devons ayder et secourir.
Congnoys ⁊ apprẽdz par cecy q̃l	Congnoys et apprendz par cecy quel
possede du tout ceulx qͥ ont des en¬	possede du tout ceulx qui ont des en¬
fans en necessite ⁊ paourete/ quand	fans en necessite et paovrete/ quand
cela qui leur doiuẽt dõner/ le dõnẽt	cela qui leur doivent donner/ le donnent
aux pardõs/ questeurs/ prebstres/	aux pardons/ questeurs/ prebstres/
les paoures qͥ ne peuuẽt trauailler/	les paovres qui ne peuvent travailler/
mourantz de faim/ de soif/ ⁊ froidu	mourantz de faim/ de soif/ et froidu¬
re/ ⁊ les laissẽt/ ou biẽ peu leur don	re/ et les laissent/ ou bien peu leur don¬
nẽt/ ⁊ fõt grosses fondatiõs/ obitz/	nent/ et font grosses fondations/ obitz/
ges/ conuẽtz/ cloistres/ nourrissãtz	ges/ conventz/ cloistres/ nourrissantz
oyseux/ sains/ ⁊ en bon point ceulx	oyseux/ sains/ et en bon point ceulx
qui peuuent bien gaigner leur uie/	qui peuvent bien gaigner leur vie/
cõe sont ces besaciers/ ⁊ autres poͬ¬	come sont ces besaciers/ et autres pour¬
ont a leur porte leur uoysin mala¬	ont a leur porte leur voysin mala¬
de/ ⁊ tant de gẽs desolez (ausquelz	de/ et tant de gens desolez (ausquelz
peuuẽt donner consolation ⁊ ayde)	peuvent donner consolation et ayde)
⁊ les laissantz courẽt ca ⁊ la/ de lieu	et les laissantz courent ca et la/ de lieu
mis a leurs fantasies/ laissãtz ce q̃	mis a leurs fantasies/ laissantz ce que
Dieu cõmande. Entẽdez/ Dieu	Dieu commande. Entendez/ Dieu
ne demande rien de tout cela: mais	ne demande rien de tout cela: mais
ce quil a cõmande. Uous rẽdrez cõ¬	ce qu’il a commande. Vous rendrez com¬
tout. Car riẽ nest a uous/ Dieu les	tout. Car rien n’est a vous/ Dieu les
a mis en uoz mains pour accõplir	a mis en voz mains pour accomplir
sa uolunte/ non pas la uostre. Car	sa volunte/ non pas la vostre. Car
nostre Seigͬ ne dit pas/ iestoye en	nostre Seigneur ne dit pas/ j’estoye en
me ou a saĩct Iacques/ ⁊ uoꝰ estes	me ou a sainct Jacques/ et vous estes
uenuz a moy: mais malade ⁊ en pri	venuz a moy: mais malade et en pri¬
son. Despẽdez ce q̃ Dieu uous a	son. Despendez ce que Dieu vous a
dõne/ pour secourir a uoz paoures	donne/ pour secourir a voz paovres
des/ prisonniers/ ⁊ indigẽs: la ferez	des/ prisonniers/ et indigens: la ferez
uous les oeuures que Dieu demã	vous les oeuvres que Dieu deman¬
de. Cest la uolũte diceluy qͥ seul dõ¬	de. C’est la volunte d’iceluy qui seul don¬
ne pleniere remission de peine et de	ne pleniere remission de peine et de
de soymesme par nostre Seigneur	de soymesme par nostre Seigneur
Iesus.	Jesus.
Ie laisse la sentence des iniques/	Je laisse la sentence des iniques/
laq̃lle ilz lirõt silz ueulẽt/ se faisãtz	laquelle ilz liront s’ilz veulent/ se faisantz
ilz deffendent la saincte escripture.	ilz deffendent la saincte escripture.
Sachẽt toutesfoys (silz ne font pe	Sachent toutesfoys (s’ilz ne font pe¬
nitẽce) que le doulx Iesus qͥ main¬	nitence) que le doulx Jesus qui main¬
tenãt les attend a misericorde/ fera	tenant les attend a misericorde/ fera
font en contẽnant sa saincte parol¬	font en contennant sa saincte parol¬
le/ ⁊ mettant a mort ses seruiteurs	le/ et mettant a mort ses serviteurs
qͥ la portent ⁊ annoncẽt. Et plꝰtost	qui la portent et annoncent. Et plustost
quilz ne pẽsent descẽdront auec les	qu’ilz ne pensent descendront avec les
les iustes/ quilz traictent ainsi mal	les justes/ qu’ilz traictent ainsi mal
iront en despit de eulx auec leur roy	iront en despit de eulx avec leur roy
Iesus/ apres ces brefues miseres ⁊	Jesus/ apres ces brefves miseres et
tribulations/ posseder la gloire/ et	tribulations/ posseder la gloire/ et
¶ Cecy auons escrit affin q̃ tout	¶ Cecy avons escrit affin que tout
hõneur ⁊ gloire soit donne au seul	honneur et gloire soit donne au seul
dieu/ ⁊ a nul autre. Priãt toꝰ ceulx	dieu/ et a nul autre. Priant tous ceulx
qͥ le liront qͥlz ne soiẽt temeraires a	qui le liront qu’ilz ne soient temeraires a
la grace du pere plein de misericor¬	la grace du pere plein de misericor¬
de ⁊ son sainct esperit/ prẽnent leur	de et son sainct esperit/ prennent leur
cõseil sur lescripture en lexaminãt	conseil sur l’escripture en l’examinant
songneusemẽt. Et autant qui le	songneusement. Et autant qui le
le/ autant le tiennẽt ⁊ approuuent	le/ autant le tiennent et approuvent
selon la reigle de foy/ sans auoir re	selon la reigle de foy/ sans avoir re¬
gard au tẽps soit long ou bref/ a la	gard au temps soit long ou bref/ a la
multitude ou grãd nõbre/ ne au pe	multitude ou grand nombre/ ne au pe¬
lopinion de la science: mais de pur	l’opinion de la science: mais de pur
oeil ⁊ simple coeur prouuẽt ce quon	oeil et simple coeur prouvent ce qu’on
ꝓpose/ ⁊ ce selõ la parolle de Dieu.	propose/ et ce selon la parolle de Dieu.
Car mieulx uault auec le seul Elie	Car mieulx vault avec le seul Elie
Dieu/ que auec innumerables ido¬	Dieu/ que avec innumerables ido¬
latres uenir cõtre son sainct cõmã¬	latres venir contre son sainct comman¬
demẽt: cõbien q̃ plusieurs de grosse	dement: combien que plusieurs de grosse
estimation si longtẽps ayent ainst	estimation si longtemps ayent ainst
loy de Dieu ne sa parolle. Il nya	loy de Dieu ne sa parolle. Il n’y a
aucune prescription cõtre icelle. Car	aucune prescription contre icelle. Car
par icelle tout le mõde sera iuge de	par icelle tout le monde sera juge de
nostre Seigneur Iesus ⁊ des siẽs.	nostre Seigneur Jesus et des siens.
⁊ espãdu par tout le mõde. Affin q̃	et espandu par tout le monde. Affin que
toute la terre adore ung seul Dieu	toute la terre adore ung seul Dieu
le craingnãt/ aymãt ⁊ honnorant	le craingnant/ aymant et honnorant
par nostre Seigñr Iesus/ qͥ nous	par nostre Seigneur Jesus/ qui nous
esperit. Amen.	esperit. Amen.
¶ Traicte de Purgatoire.	¶ Traicte de Purgatoire.
P	P¬
Ar la parolle de Dieu	Ar la parolle de Dieu
faict mẽtion dautre pur	faict mention d’autre pur¬
gatoire q̃ le sang de Ie¬	gatoire que le sang de Je¬
suchrist: par leq̃l les pe¬	suchrist: par lequel les pe¬
chez ⁊ iniqͥtez du mõde sõt purgez.	chez et iniquitez du monde sont purgez.
parle en lescripture saincte (selõ la¬	parle en l’escripture saincte (selon la¬
quelle on doit esprouuer les espe¬	quelle on doit esprouver les espe¬
ritz silz sont de Dieu) ie mesbahis	ritz s’ilz sont de Dieu) je m’esbahis
cõment aucuns qͥ se disent Theolo	comment aucuns qui se disent Theolo¬
raires ⁊ hardis/ de enseigner autre	raires et hardis/ de enseigner autre
purgation/ que par le sang de Iesu	purgation/ que par le sang de Jesu¬
christ: ⁊ q̃ le monde a este si despour	christ: et que le monde a este si despour¬
ueu dentendemẽt de croire a telz do	veu d’entendement de croire a telz do¬
iugemẽt de Dieu/ qͥ delaisse les sa¬	jugement de Dieu/ qui delaisse les sa¬
ges du mõde en sẽs reprouue/ affin	ges du monde en sens reprouve/ affin
que les siens soyent congneuz.	que les siens soyent congneuz.
Poͬ mõstrer dõc q̃ le purgatoire	Pour monstrer donc que le purgatoire
sion/ ⁊ espouuantemẽt/ dõnant ter	sion/ et espouvantement/ donnant ter¬
reur/ crainte/ ⁊ admiratiõ aux gẽs	reur/ crainte/ et admiration aux gens
sans foy. Il est necessaire de redui¬	sans foy. Il est necessaire de redui¬
re a memoire aucuns passages de	re a memoire aucuns passages de
tion dicelle.	tion d’icelle.
Premieremẽt/ il est escrit en S.	Premierement/ il est escrit en Sainct
Matthieu/ ⁊ en S. Marc: Qui croy	Matthieu/ et en Sainct Marc: Qui croy¬
ra ⁊ sera baptize/ il sera sauue: mais	ra et sera baptize/ il sera sauve: mais
Par ces parolles il appert par q̃lle	Par ces parolles il appert par quelle
uoye la dãnation nous est donnee:	voye la damnation nous est donnee:
cestascauoir par ĩcredulite. Et par	c’est ascavoir par incredulite. Et par
q̃lle uoye salut noꝰ est octroye: asca	quelle voye salut nous est octroye: asca¬
mourrons fideles ou infideles. Si	mourrons fideles ou infideles. Si
nous mourõs en la foy/ noꝰ sõmes	nous mourons en la foy/ nous sommes
sauuez: car il est dict/ qͥ croira il sera	sauvez: car il est dict/ qui croira il sera
sauue. Si nous mourõs infideles/	sauve. Si nous mourons infideles/
dict/ qui ne croyra/ il sera cõdemne.	dict/ qui ne croyra/ il sera condemne.
Secondemẽt il est dict par sainct	Secondement il est dict par sainct
Iehan: Dieu a tant ayme le mõde	Jehan: Dieu a tant ayme le monde
qͥl a dõne son seul filz: affin q̃ tout	qu’il a donne son seul filz: affin que tout
mais quil ayt la uie eternelle. Car	mais qu’il ayt la vie eternelle. Car
Dieu na poĩt enuoye sõ filz au mõ	Dieu n’a point envoye son filz au mon¬
de/ pour iuger le mõde: mais affin	de/ pour juger le monde: mais affin
q̃ le monde soit sauue par luy. Qui	que le monde soit sauve par luy. Qui
qͥ ne croit point/ il est desia iuge: car	qui ne croit point/ il est desja juge: car
il ne croit point au nom du seul filz	il ne croit point au nom du seul filz
de Dieu. Uous uoyez que le pere	de Dieu. Vous voyez que le pere
nous a dõne son seul filz: affin q̃ ce¬	nous a donne son seul filz: affin que ce¬
nelle. En apres que la uie eternelle	nelle. En apres que la vie eternelle
ensuyt le croyant. Or ne seroit elle	ensuyt le croyant. Or ne seroit elle
poĩt eternelle/ si celuy qͥ croyt estoit	point eternelle/ si celuy qui croyt estoit
iuge destre mis au feu de purgatoi¬	juge d’estre mis au feu de purgatoi¬
tout ung. Dauãtage uous con	tout ung. D’avantage vous con¬
gnoissez le monde estre sauue par	gnoissez le monde estre sauve par
Christ. Il sentend dõc que icelle uie	Christ. Il s’entend donc que icelle vie
soit sans peine: ⁊ celuy qui croit en	soit sans peine: et celuy qui croit en
en purgatoire il seroit iuge y aller/	en purgatoire il seroit juge y aller/
ce que ne peult estre le croyant. Car	ce que ne peult estre le croyant. Car
cõme dit S. Paul/ il ny a nulle cõ¬	comme dit Sainct Paul/ il n’y a nulle con¬
demnation a ceulx qui sont en Ie¬	demnation a ceulx qui sont en Je¬
re par S. Iehan ou il a dict: En ue	re par Sainct Jehan ou il a dict: En ve¬
rite/ en uerite ie uous dis/ qͥ oyt ma	rite/ en verite je vous dis/ qui oyt ma
parolle ⁊ croyt a celuy qͥ ma ẽuoye/	parolle et croyt a celuy qui m’a envoye/
il a la uie eternelle/ ⁊ ne uiẽt point	il a la vie eternelle/ et ne vient point
mort a la uie. Et silz uouloiẽt	mort a la vie. Et s’ilz vouloient
dire q̃ aller en purgatoire/ nest poĩt	dire que aller en purgatoire/ n’est point
estre iuge: ce seroit ꝯtreuenu mesme	estre juge: ce seroit contrevenu mesme
a leurs traditiõs humaines/ qͥ disẽt	a leurs traditions humaines/ qui disent
tel/ estre adiugee sept ans au feu de	tel/ estre adjugee sept ans au feu de
purgatoire. Qui est ung grand er¬	purgatoire. Qui est ung grand er¬
reur/ ⁊ une grãde arrogãce de ainsi	reur/ et une grande arrogance de ainsi
affermer telles choses sans q̃lq̃ fon	affermer telles choses sans quelque fon¬
trouue point qͥ soit faict mẽtion de	trouve point qui soit faict mention de
sept ans/ ou de dix/ ou de douze: ne	sept ans/ ou de dix/ ou de douze: ne
aussi q̃ de deux lieux: ascauoir du	aussi que de deux lieux: ascavoir du
repos/ ⁊ de torment. Cõme assez est	repos/ et de torment. Comme assez est
du mauuais riche/ ⁊ du Lazare.	du mauvais riche/ et du Lazare.
Itẽ le brigãt qͥ fut crucifie pres	Item le brigant qui fut crucifie pres
de Christ/ ne fut iamais en purga¬	de Christ/ ne fut jamais en purga¬
toire pour faire penitẽce de ses pe¬	toire pour faire penitence de ses pe¬
dhuy en paradis auec moy. Ou est	d’huy en paradis avec moy. Ou est
donc sa purgation? nest ce pas par	donc sa purgation? n’est ce pas par
le sang de Christ/ par le lauemẽt de	le sang de Christ/ par le lavement de
regeneration quil a espãdu sur noꝰ	regeneration qu’il a espandu sur nous
rifie les coeurs?	rifie les coeurs?
Oultre ie leur demãde: si le pur¬	Oultre je leur demande: si le pur¬
gatoire estoit deuant ou apres lin¬	gatoire estoit devant ou apres l’in¬
carnation. De dire qͥl ayt este seule	carnation. De dire qu’il ayt este seule¬
malheureusement parle/ ⁊ ne seroit	malheureusement parle/ et ne seroit
point Iesuchrist uray redempteur:	point Jesuchrist vray redempteur:
mais ung tirãt/ ⁊ cruel exacteur.	mais ung tirant/ et cruel exacteur.
Si on respõd qͥl estoit des le cõmẽ¬	Si on respond qu’il estoit des le commen¬
testamẽt le prouuerõt ilz? Ou sont	testament le prouveront ilz? Ou sont
escriptz en Moyse/ ou aux prophe¬	escriptz en Moyse/ ou aux prophe¬
tes/ les remedes poͬ subuenir ⁊ ay¬	tes/ les remedes pour subvenir et ay¬
der a ceulx qͥ estoiẽt en ceste peine?	der a ceulx qui estoient en ceste peine?
de sacrifices bruslez/ oblatiõs/ laue	de sacrifices bruslez/ oblations/ lave¬
mens/ ⁊ expiatiõs/ pour les pechez	mens/ et expiations/ pour les pechez
des uiuans: mais il na escrit ung	des vivans: mais il n’a escrit ung
seul mot du purgatoire/ ny ð la ma	seul mot du purgatoire/ n’y dict la ma¬
ains il deffend aux sacrificateurs	ains il deffend aux sacrificateurs
de nestre poĩt souillez sur les corps	de n’estre point souillez sur les corps
mortz/ ne de eulx contrister sur la	mortz/ ne de eulx contrister sur la
mort de leͬs citoyẽs. Ce q̃ S. Paul	mort de leurs citoyens. Ce que Sainct Paul
saloniẽs. Parquoy cest chose incer¬	saloniens. Parquoy c’est chose incer¬
taine de determiner quil y ayt ung	taine de determiner qu’il y ayt ung
purgatoire: pour ce q̃ on nen trouue	purgatoire: pour ce que on n’en trouve
riẽ en la saincte escriture: ains icelle	rien en la saincte escriture: ains icelle
pert en ce passage de Lapocalipse:	pert en ce passage de L’apocalipse:
Biẽheureux sont les mortz/ qͥ sont	Bienheureux sont les mortz/ qui sont
mortz en nostre Seigneur.	mortz en nostre Seigneur.
Maintenãt ie demãde si celuy qͥ	Maintenant je demande si celuy qui
non. Si meurt en nostre Seigñr/ il	non. Si meurt en nostre Seigneur/ il
est biẽheureux/ cõme il appert par	est bienheureux/ comme il appert par
le texte. Et sil ne meurt poĩt en nr̃e	le texte. Et s’il ne meurt point en notre
Seigñr/ il est malheureux uerita¬	Seigneur/ il est malheureux verita¬
Mais quelque petit sophistereau	Mais quelque petit sophistereau
me diroit: Distinguo/ quãtum ad pe¬	me diroit: Distinguo/ quantum ad pe¬
nam/ sic nego. Uel quantũ ad culpã cõ¬	nam/ sic nego. Vel quantum ad culpam con¬
cedo: Cestadire/ Dieu pardonne la	cedo: C’est a dire/ Dieu pardonne la
paoure sophiste/ ou as tu trouue q̃	paovre sophiste/ ou as tu trouve que
Dieu pardonne lung sans lautre.	Dieu pardonne l’ung sans l’autre.
Les oeuures du Seigñr sõt parfai	Les oeuvres du Seigneur sont parfai¬
ctes/ il nous pardõne tout/ ou rien/	ctes/ il nous pardonne tout/ ou rien/
nous tesmoingne Ezechiel/ disant:	nous tesmoingne Ezechiel/ disant:
En quelcõque heure q̃ le pecheur ge	En quelconque heure que le pecheur ge¬
mira/ ie nauray point souuenãce de	mira/ je n’auray point souvenance de
tous ses pechez/ S. Iehã dict aussi:	tous ses pechez/ Sainct Jehan dict aussi:
il est fidele ⁊ iuste pour nous pardõ	il est fidele et juste pour nous pardon¬
ner/ ⁊ nous nettoyer de toute iniqͥ¬	ner/ et nous nettoyer de toute iniqui¬
te. Et si nous cheminõs en lumiere	te. Et si nous cheminons en lumiere
nous auõs cõpaignie auec luy/ ⁊ le	nous avons compaignie avec luy/ et le
toye de tout peche: car il sied a la	toye de tout peche: car il sied a la
dextre de Dieu faisãt la purgatiõ	dextre de Dieu faisant la purgation
des pechez. Leq̃l aussi par une seu¬	des pechez. Lequel aussi par une seu¬
le oblation a rendu parfaictz eter¬	le oblation a rendu parfaictz eter¬
En apres dit le Psalmiste: Mais	En apres dit le Psalmiste: Mais
apres q̃ ie tay dõne a cõgnoistre mõ	apres que je t’ay donne a congnoistre mon
peche/ ⁊ q̃ ie ne tay point cele mõ cri	peche/ et que je ne t’ay point cele mon cri¬
me: lors que iay dit (en me accusant	me: lors que j’ay dit (en me accusant
sion au Seigͬ/ incõtinent tu as re¬	sion au Seigneur/ incontinent tu as re¬
mis le crime de mon peche. Si donc	mis le crime de mon peche. Si donc
nostre Seigͬ nous pardõne toꝰ noz	nostre Seigneur nous pardonne tous noz
pechez quãd affectueusemẽt de ce le	pechez quand affectueusement de ce le
moleste poͬ iceulx/ ueu qͥlz noꝰ sõt	moleste pour iceulx/ veu qu’ilz nous sont
effacez par la foy/ q̃ nous auons en	effacez par la foy/ que nous avons en
la mort ⁊ passion de Iesuchrist/ la¬	la mort et passion de Jesuchrist/ la¬
quelle est parfaicte/ ou ĩparfaicte.	quelle est parfaicte/ ou imparfaicte.
riẽ poͬ la parfaire: car se seroit blas¬	rien pour la parfaire: car se seroit blas¬
phemer la passion de Christ: ainsi q̃	phemer la passion de Christ: ainsi que
fõt les refondeurs des ames: lors	font les refondeurs des ames: lors
qͥlz ueulẽt par leurs oeuures satis¬	qu’ilz veulent par leurs oeuvres satis¬
purgatoire. Silz ueullẽt dire: Da¬	purgatoire. S’ilz veullent dire: Da¬
uid a peche: puis sõ peche luy a este	vid a peche: puis son peche luy a este
pardonne/ quãt a la coulpe/ et non	pardonne/ quant a la coulpe/ et non
point quant a la peine: pource quil	point quant a la peine: pour ce qu’il
peines qui luy furẽt presentees. Ie	peines qui luy furent presentees. Je
respõdz/ q̃ (cõme dit est) Dieu par¬	respondz/ que (comme dit est) Dieu par¬
dõne tout ou rien. Car qͥ dõne le plꝰ	donne tout ou rien. Car qui donne le plus
iamais ne refuse le moins: or est ce	jamais ne refuse le moins: or est ce
Il sensuit dõc sil dõne la coulpe qͥl	Il s’ensuit donc s’il donne la coulpe qu’il
ne reserue point la peine: mais en ce	ne reserve point la peine: mais en ce
mõde/ pour nous humilier/ exercer	monde/ pour nous humilier/ exercer
a patiẽce/ ⁊ noꝰ dõner a cõgnoistre	a patience/ et nous donner a congnoistre
en tribulation/ mesme ceulx qͥ nont	en tribulation/ mesme ceulx qui n’ont
poĩt peche: cõe il appert de Iob/ de	point peche: come il appert de Job/ de
Ieremie/ ⁊ de plusieͬs autres. Car	Jeremie/ et de plusieurs autres. Car
cõe dit S. Paul: Afflictiõ engẽdre	come dit Saint Paul: Affliction engendre
tion esperance: mais esperãce ne cõ	tion esperance: mais esperance ne con¬
fond point. Et par ainsi iacoit q̃	fond point. Et par ainsi j’acoit que
Dieu ayt tout pardõne a Dauid:	Dieu ayt tout pardonne a David:
⁊ quãt a la peine/ ⁊ quãt a la coul¬	et quant a la peine/ et quant a la coul¬
lier ⁊ esprouuer: affin de dõner a cõ	lier et esprouver: affin de donner a con¬
gnoistre au monde de quelle foy il	gnoistre au monde de quelle foy il
estoit plein.	estoit plein.
Ce nest point donc la peine qͥ pur	Ce n’est point donc la peine qui pur¬
auons a Dieu par Iesuchrist: leq̃l	avons a Dieu par Jesuchrist: lequel
(cõe dit S. Paul) est la purgation	(come dit Sainct Paul) est la purgation
de noz pechez. Et par ainsi uou¬	de noz pechez. Et par ainsi vou¬
loir trouuer autre purgatoire/ q̃ le	loir trouver autre purgatoire/ que le
euacuer sa passion/ ⁊ dire ses oeu¬	evacuer sa passion/ et dire ses oeu¬
ures estre imparfaictes.	vres estre imparfaictes.
Et que ainsi soit/ il est notoire q̃	Et que ainsi soit/ il est notoire que
tous esleuz sont mẽbres de Christ.	tous esleuz sont membres de Christ.
suit dõc q̃ sa uertu/ ⁊ les merites de	suit donc que sa vertu/ et les merites de
sa passion qui sont infiniz/ leur sõt	sa passion qui sont infiniz/ leur sont
cõmuns. Et par ainsi ilz sõt faictz	communs. Et par ainsi ilz sont faictz
participãs de ce merite/ par leq̃l ilz	participans de ce merite/ par lequel ilz
consequent de purgatoire.	consequent de purgatoire.
Item S. Iehan dict: Ceulx qui	Item Sainct Jehan dict: Ceulx qui
croyẽt en Christ/ sõt ẽfãs de Dieu/	croyent en Christ/ sont enfans de Dieu/
silz sont donc enfans/ ilz serõt heri¬	s’ilz sont donc enfans/ ilz seront heri¬
par ꝓmesse: ⁊ non point par leurs	par promesse: et non point par leurs
oeuures. Et par ainsi il est bien eui	oeuvres. Et par ainsi il est bien evi¬
dent q̃ telles friuolles inuẽtions de	dent que telles frivolles inventions de
purgatoire q̃ on crie ⁊ blasonne tãt	purgatoire que on crie et blasonne tant
trouuees par sathan/ mettãt lambi	trouvees par sathan/ mettant l’ambi¬
tion aux coeurs des ministres de le	tion aux coeurs des ministres de l’e¬
glise/ qͥ ont plus cerche leur particu	glise/ qui ont plus cerche leur particu¬
lier proffit/ q̃ le salut des ames: cõe	lier proffit/ que le salut des ames: come
plus ꝓffitable/ q̃ les forneaulx des	plus proffitable/ que les forneaulx des
faiseurs darquemye. Car par iceluy	faiseurs d’arquemye. Car par iceluy
ilz ont cõuerty la plus part des biẽs	ilz ont converty la plus part des biens
du mõde/ en or ⁊ argẽt/ qui reuient	du monde/ en or et argent/ qui revient
Dieu que tu es plein de patience de	Dieu que tu es plein de patience de
ainsi endurer ꝓphaner/ ⁊ blasmer	ainsi endurer prophaner/ et blasmer
ta saincte parolle/ par les inuẽtiõs/	ta saincte parolle/ par les inventions/
songes ⁊ mẽsonges des hões. Iusq̃	songes et mensonges des homes. Jusque
ces paoures aueugles/ qui ayment	ces paovres aveugles/ qui ayment
mieulx fõder obitz/ trẽteniers/ qua	mieulx fonder obitz/ trenteniers/ qua¬
rãteniers/ ⁊ autres incertains serui	ranteniers/ et autres incertains servi¬
ces/ q̃ de subuenir a toy/ en tes pao¬	ces/ que de subvenir a toy/ en tes pao¬
pour instruire les ignorãs/ mariãt	pour instruire les ignorans/ mariant
paoures filles/ entretenãt paoures	paovres filles/ entretenant paovres
orphelins a mestier/ nourrissãt gẽs	orphelins a mestier/ nourrissant gens
uieilz/ impotẽtz/ souffreteux/ ⁊ ma	vieilz/ impotentz/ souffreteux/ et ma¬
gne par charite/ de toy cõmandees.	gne par charite/ de toy commandees.
Estendz (Seigͬ) le bras de ta puis¬	Estendz (Seigneur) le bras de ta puis¬
sance/ ⁊ par la rigueur de ta iustice	sance/ et par la rigueur de ta justice
desrõpz/ brise/ ⁊ aneantiz ces faulx	desrompz/ brise/ et aneantiz ces faulx
crites/ ⁊ abuseurs/ qͥ iournellement	crites/ et abuseurs/ qui journellement
decoiuẽt ton peuple par leͬs friuol	decoivent ton peuple par leurs frivol¬
les inuentiõs pleines dauarice.	les inventions pleines d’avarice.
Or pour plus clairemẽt uoꝰ dõ	Or pour plus clairement vous don¬
bolicq̃ (iacoit q̃ ce qui est allegue cy	bolicque (j’acoit que ce qui est allegue cy
dessus seroit tresuffisãt) ie noteray	dessus seroit tres suffisant) je noteray
encore aucunes sentẽces/ par lesq̃l¬	encore aucunes sentences/ par lesquel¬
les on uoit a loeil lincertitude de	les on voit a l’oeil l’incertitude de
Premieremẽt Solomon dit: Si	Premierement Solomon dit: Si
le boys chet uers Midy/ ou uers	le boys chet vers Midy/ ou vers
Aqͥlon/ en q̃lconque lieu qͥl tõbera il	Aquilon/ en quelconque lieu qu’il tombera il
demourera. Cheoir uers Midy/ est	demourera. Cheoir vers Midy/ est
lon/ en ĩfidelite. Qui meurt dõc en	lon/ en infidelite. Qui meurt donc en
la foy/ il a la uie eternelle: et qui	la foy/ il a la vie eternelle: et qui
meurt en infidelite/ il ua a damna	meurt en infidelite/ il va a damna¬
tion: car il nya point de millieu ou	tion: car il n’y a point de millieu ou
purgatoire. Parquoy linuẽtion di¬	purgatoire. Parquoy l’invention d’i¬
celuy nest point fõdee sur la parol¬	celuy n’est point fondee sur la parol¬
le de Dieu: mais plus tost sur les	le de Dieu: mais plus tost sur les
resueries de Hildebrant magicien/	resveries de Hildebrant magicien/
nom: ont prins et glose sur le huy¬	nom: ont prins et glose sur le huy¬
tiesme des Eneides de Uirgile/ Cẽ	tiesme des Eneides de Virgile/ Cen¬
tum errant annis ⁊c. Ou sur le timee	tum errant annis etc. Ou sur le timee
