¶ Linstruction des	¶ L’instruction des
rit. Fuyez paillardise. Tout peche/ que lhomme	rit. Fuyez paillardise. Tout peche/ que l’homme
en son propre corps. 1.Corin.6.d.	en son propre corps. 1.Corin.6.d.
Ceste est la uolunte de Dieu/ uostre sanctifica¬	Ceste est la volunte de Dieu/ vostre sanctifica¬
q̃ un chascun de uous sache posseder son uaisseau	que un chascun de vous sache posseder son vaisseau
de desirs/ ainsi cõme les gentilz/ lesquelz ignorent	de desirs/ ainsi comme les gentilz/ lesquelz ignorent
dieu ⁊c. Car dieu ne nous a point appelle a ordure:	dieu etc. Car dieu ne nous a point appelle a ordure:
Les iniustes/ les paillardz/ ceux qui seruẽt aux	Les injustes/ les paillardz/ ceux qui servent aux
gerons/ les larrõs/ les auaricieux/ les yurõgnes/	gerons/ les larrons/ les avaricieux/ les yvrongnes/
les maldisans/ les rauisseurs ne possederõt point	les maldisans/ les ravisseurs ne possederont point
Paillardise ⁊ ordure quelcõque/ ou auarice/ ne	Paillardise et ordure quelconque/ ou avarice/ ne
nable aux sainctz: ou chose uillaine ⁊ folles pa¬	nable aux sainctz: ou chose villaine et folles pa¬
rolles/ ou farcerie/ qui ne cõuiennent point: mais	rolles/ ou farcerie/ qui ne conviennent point: mais
que nul paillard/ ou souille/ ou auaricieux qui est	que nul paillard/ ou souille/ ou avaricieux qui est
me de Christ/ ⁊ de Dieu. Ephe.5.a.	me de Christ/ et de Dieu. Ephe.5.a.
Cheminõs hõnestemẽt cõme par iour/ nõ point	Cheminons honnestement comme par jour/ non point
⁊ luxures ⁊c. Romains.13.d.	et luxures etc. Romains.13.d.
sans macule. Mais Dieu iugera les paillardz ⁊	sans macule. Mais Dieu jugera les paillardz et
adulteres. Hebr.13.a.	adulteres. Hebr.13.a.
me/ ⁊ une chascune aye son mary. Le mary rende	me/ et une chascune aye son mary. Le mary rende
mẽt la femme au mary. La fẽme na point la puis-	ment la femme au mary. La femme n’a point la puis¬
sance de son corps: mais le mary. Et aussi sembla	sance de son corps: mais le mary. Et aussi sembla¬
mais la femme. Ne retenez poĩt le deu lun de lau¬	mais la femme. Ne retenez point le deu l’un de l’au¬
que uous uacquiez a ieunes ⁊ oraison. Et de rechief	que vous vacquiez a jeunes et oraison. Et de rechief
retournez ensemble: affin que Satan ne uous tẽte/	retournez ensemble: affin que Satan ne vous tente/
nent quilz se mariẽt. Car il uaut mieux se marier	nent qu’ilz se marient. Car il vaut mieux se marier
Il faut que leuesque soit irreprehensible: mary	Il faut que l’evesque soit irreprehensible: mary
dune seule femme/ surueillant/ sobre/ modeste/ ⁊c.	d’une seule femme/ surveillant/ sobre/ modeste/ etc.
me. 1.Timo.3.a.b. Tite p̃mier.b.	me. 1.Timo.3.a.b. Tite premier.b.
cause de fornication: il faict quelle soit adultere.	cause de fornication: il faict qu’elle soit adultere.
Matthieu.5.e.19.b. 1.Corin.7.b.	Matthieu.5.e.19.b. 1.Corin.7.b.
nicateur/ ou auaricieux/ ou seruãt aux idoles/ ou	nicateur/ ou avaricieux/ ou servant aux idoles/ ou
point auec celuy qui est tel. 1.Corin.5.d.	point avec celuy qui est tel. 1.Corin.5.d.
¶ Uoyez) 3. Moyse.18.a.b. Prouer.2.c.	¶ Voyez) 3. Moyse.18.a.b. Prover.2.c.
rin.5.a.b.c. Ephesiẽs.5.b. 1.Timo.1.b.	rin.5.a.b.c. Ephesiẽs.5.b. 1.Timo.1.b.
¶ Sur le .uiii. cõmandement.	¶ Sur le .viii. commandement.
¶ De larcin ⁊ tromperie.	¶ De larcin et tromperie.
thieu.19.c. Romains.13.c.	thieu.19.c. Romains.13.c.
sonne ne deceura son prochain. 3.Moyse.19.b.c.	sonne ne decevra son prochain. 3.Moyse.19.b.c.
Tu ne feras point de extorsion a ton prochain	Tu ne feras point de extorsion a ton prochain
Tu ne feras aucune fausette en iugemẽt/ en rei¬	Tu ne feras aucune fausette en jugement/ en rei¬
ces iustes/ et les poix iustes/ aussi le muyd et le	ces justes/ et les poix justes/ aussi le muyd et le
septier. 3.Moyse.19.g. 5.Moyse.25.c.d.	septier. 3.Moyse.19.g. 5.Moyse.25.c.d.
Dieu/ et le poix iuste luy est aggreable. Prouer¬	Dieu/ et le poix juste luy est aggreable. Prover¬
Celuy qui aura desrobe ⁊ uẽdu lhõme/ sil est cõ	Celuy qui aura desrobe et vendu l’homme/ s’il est con¬
uaĩcu de la coulpe/ qͥl meure de mort. 2.Moy.21.b.	vaincu de la coulpe/ qu’il meure de mort. 2.Moy.21.b.
ame. Prouerbes.29.d.	ame. Proverbes.29.d.
tost qui laboure en besongnant de ses mains/ en ce	tost qui laboure en besongnant de ses mains/ en ce
qui est bon: affin quil aye pour dõner a celuy qui	qui est bon: affin qu’il aye pour donner a celuy qui
Nul ne foulle ou decoiue son frere en aucun af	Nul ne foulle ou decoive son frere en aucun af¬
de toutes ces choses. 1.Thessa.4.b.	de toutes ces choses. 1.Thessa.4.b.
¶ Uoyez) 2.Moyse.22.a.b. Ecclesiaste.5.d.	¶ Voyez) 2.Moyse.22.a.b. Ecclesiaste.5.d.
¶ Sur le .ix. cõmandement.	¶ Sur le .ix. commandement.
mensonge/ ⁊ detraction.	mensonge/ et detraction.
Tu ne diras point faux tesmoignage. 5.Moy¬	Tu ne diras point faux tesmoignage. 5.Moy¬
Tu ne porteras point la parolle de mẽsonge/ ⁊	Tu ne porteras point la parolle de mensonge/ et
moignage iniuste. Tu nensuyuras point la mul¬	moignage injuste. Tu n’ensuyvras point la mul¬
titude pour faire mal/ et ne condescendras point	titude pour faire mal/ et ne condescendras point
que tu desuoye du uray ⁊c. Tu fuyras mensonge.	que tu desvoye du vray etc. Tu fuyras mensonge.
Le faux tesmoing ne demourera point impu¬	Le faux tesmoing ne demourera point impu¬
gny: ⁊ qui parle mensonge/ neschappera point.	gny: et qui parle mensonge/ n’eschappera point.
Celuy qui parle la uerite annõce iustice: mais	Celuy qui parle la verite annonce justice: mais
Le larron est meilleur q̃ la cõtinuelle cõpaignie	Le larron est meilleur que la continuelle compaignie
de lhõme mẽsongier: mais tous deux aurõt perdi¬	de l’homme mensongier: mais tous deux auront perdi¬
Le Seigñr hait ces six choses/ ⁊ la septiesme il	Le Seigneur hait ces six choses/ et la septiesme il
le faux tesmoing ⁊ lauteur de dissention entre les	le faux tesmoing et l’auteur de dissention entre les
freres. Prouerb.9.a.	freres. Proverb.9.a.
Les meurs des hõmes menteurs sont sans hõ¬	Les meurs des hommes menteurs sont sans hon¬
Ecclesiastique.20.d.	Ecclesiastique.20.d.
Ne mẽtez point lun a lautre. Colos.2.b.	Ne mentez point l’un a l’autre. Colos.2.b.
quil garde sa langue de mal/ ⁊ ses leures quelles	qu’il garde sa langue de mal/ et ses leures qu’elles
Ne ayme pas mẽsonge alencontre de ton frere/ ⁊	Ne ayme pas mensonge a l’encontre de ton frere/ et
ne le fais point pareillemẽt a ton amy. Ne uueille	ne le fais point pareillement a ton amy. Ne vueille
diceluy nest pas bonne. Eccłi.7.b.	d’iceluy n’est pas bonne. Eccłi.7.b.
celuy qui parle mensonge perira. Prouer.19.b.	celuy qui parle mensonge perira. Prover.19.b.
Mensonge est un opprobre mauuais en lhom¬	Mensonge est un opprobre mauvais en l’hom¬
sont sans discipline. Ecclesiastique.20.d.	sont sans discipline. Ecclesiastique.20.d.
Lhõme qui dõne faux tesmoignage contre son	L’homme qui donne faux tesmoignage contre son
prochain est une lance/ ⁊ une espee/ et une flesche	prochain est une lance/ et une espee/ et une flesche
La faulse langue ne poeut souffrir celuy qui le	La faulse langue ne poeut souffrir celuy qui le
lice. Prouer.26.g.	lice. Prover.26.g.
Tu ne iras point detracter entre ton peuple.	Tu ne iras point detracter entre ton peuple.
Le detracteur est en abomination aux hommes.	Le detracteur est en abomination aux hommes.
Gardez uous donc de murmuration: laquelle	Gardez vous donc de murmuration: laquelle
ne prouffite de rien/ ⁊ retirez uostre langue de detra	ne prouffite de rien/ et retirez vostre langue de detra¬
Celuy qui feint sõ regard/ faict q̃lque dõmaige:	Celuy qui feint son regard/ faict quelque dommaige:
Uous donc ostans toute malice ⁊ toute dece¬	Vous donc ostans toute malice et toute dece¬
ption ⁊ simulattons ⁊ enuies/ ⁊ toutes detractiõs:	ption et simulations et envies/ et toutes detractions:
laict de la parolle qui est sans deceptiõ: affin q̃ par	laict de la parolle qui est sans deception: affin que par
Mes freres/ ne detractez point lun de lautre.	Mes freres/ ne detractez point l’un de l’autre.
Qui detracte de son frere/ ou qui iuge son frere: il	Qui detracte de son frere/ ou qui juge son frere: il
loy/ tu ne es point facteur de la loy: mais iuge. Il	loy/ tu ne es point facteur de la loy: mais juge. Il
es tu/ qui iuge autruy. Iacques.4.c.	es tu/ qui juge autruy. Jacques.4.c.
Ostez mẽsonge ⁊ parlez uerite un chascun auec	Ostez mensonge et parlez verite un chascun avec
des autres. Ephe.4.f.	des autres. Ephe.4.f.
26.a. Rom̃.1.d. Iac.1.c.3.a. Act̃.5.a.	26.a. Rom̃.1.d. Jac.1.c.3.a. Act̃.5.a.
¶ Sur le .x. cõmandement.	¶ Sur le .x. commandement.
Tu ne cõuoiteras point la fẽme de ton ꝓchain/	Tu ne convoiteras point la femme de ton prochain/
Ie ne congnoissoye point cõcupiscence: se la loy	Je ne congnoissoye point concupiscence: se la loy
ne eut dit. Tu ne conuoiteras point. Ro.7.b.13.c.	ne eut dit. Tu ne convoiteras point. Ro.7.b.13.c.
uerbes.23.a.	verbes.23.a.
gẽt/ ⁊ qui ayme auoir cheuãce nen aura nul fruict.	gent/ et qui ayme avoir chevance n’en aura nul fruict.
Ecclesiaste.5.b.	Ecclesiaste.5.b.
Terre ⁊ cẽdre pourquoy te enorgueillis tu? Il nest	Terre et cendre pourquoy te enorgueillis tu? Il n’est
met son ame en uente. Ecclesiastic.10.b.	met son ame en vente. Ecclesiastic.10.b.
Lauaricieux met toute sa maison en trouble: et	L’avaricieux met toute sa maison en trouble: et
Uoyez/ et uous gardez dauarice: car la uie dun	Voyez/ et vous gardez d’avarice: car la vie d’un
possede. Luc.12.b.	possede. Luc.12.b.
Ie uous dy en uerite/ que a grand difficulte le	Je vous dy en verite/ que a grand difficulte le
ie uous dy: Il est plus facile que un chameau en¬	je vous dy: Il est plus facile que un chameau en¬
tre au royaume des cieux. Matthi.19.c. Marc	tre au royaume des cieux. Matthi.19.c. Marc
10.b. Luc.18.d.	10.b. Luc.18.d.
la rouillure ⁊ tigne corrompt/ ⁊ la ou les larrons	la rouillure et tigne corrompt/ et la ou les larrons
au ciel/ la ou ne la rouillure ne la tigne ne corrõpt	au ciel/ la ou ne la rouillure ne la tigne ne corrompt
rien/ ⁊ la ou les larrons ne effouissent/ ⁊ ne desro¬	rien/ et la ou les larrons ne effouissent/ et ne desro¬
uostre coeur/ la lumiere de ton corps/ cest ton oeil.	vostre coeur/ la lumiere de ton corps/ c’est ton oeil.
mineux: mais se ton oeil est mauuais/ tout ton	mineux: mais se ton oeil est mauvais/ tout ton
corps sera tenebreux ⁊c. Matth.6.c. Luc.12.d.	corps sera tenebreux etc. Matth.6.c. Luc.12.d.
nauons rien aporte en ce monde. Il est manifeste q̃	n’avons rien aporte en ce monde. Il est manifeste que
nourrissemens ⁊ dequoy puissions estre couuers/	nourrissemens et dequoy puissions estre couvers/
soyons contens de ces choses. Car ceux qui ueul¬	soyons contens de ces choses. Car ceux qui veul¬
du diable/ ⁊ en plusieurs desirs folz ⁊ nuisãs/ les¬	du diable/ et en plusieurs desirs folz et nuisans/ les¬
Car la racine de tous maux/ est cõuoitise de riches	Car la racine de tous maux/ est convoitise de riches¬
ses: laquelle aucuns appetans/ ont erre en la foy/ ⁊	ses: laquelle aucuns appetans/ ont erre en la foy/ et
Uoz meurs soyẽt sans auarice. Soyez cõtens	Voz meurs soyent sans avarice. Soyez contens
laisseray point/ ⁊ ne te abãdonneray point: tant q̃	laisseray point/ et ne te abandonneray point: tant que
nous pouons dire en fiãce: Le Seigneur dieu mest	nous povons dire en fiance: Le Seigneur dieu m’est
se faire. Heb.13.a.b.	se faire. Heb.13.a.b.
cupiscence. Puis apres quand la concupiscence a	cupiscence. Puis apres quand la concupiscence a
conceu: elle enfante peche: ⁊ peche quãd il aura este	conceu: elle enfante peche: et peche quand il aura este
Se aucun ayme le mõde/ la charite du pere nest	Se aucun ayme le monde/ la charite du pere n’est
piscence de chair/ ⁊ cõcupiscẽce des yeux/ ⁊ orgueil	piscence de chair/ et concupiscence des yeux/ et orgueil
de uie/ qui nest point du pere: mais est du mõde. Et	de vie/ qui n’est point du pere: mais est du monde. Et
uolunte de dieu/ demoure eternellemẽt. 1.Ieh.2.c.	volunte de dieu/ demoure eternellement. 1.Jeh.2.c.
ses prouffitz. 1.Corin.14.b.	ses prouffitz. 1.Corin.14.b.
Nul ne soit cerchant son bien: mais le biẽ dau¬	Nul ne soit cerchant son bien: mais le bien d’au¬
Que ꝓuffite il a lhõme sil gaigne tout le mon	Que prouffite il a l’homme s’il gaigne tout le mon¬
Cõplainte de Ieremie ⁊ Isaie.) Depuis le petit	Complainte de Jeremie et Isaie.) Depuis le petit
dẽtre eux iusque au grãd/ chascun tache a auarice:	d’entre eux jusque au grand/ chascun tache a avarice:
faulsete. Iere.6.c.8.d. Isa.56.d.	faulsete. Jere.6.c.8.d. Isa.56.d.
parolles. Donne nous auiourdhuy nostre	parolles. Donne nous aujourdhuy nostre
pain ⁊c. Et la similitude Luc.12.c. Item Pro	pain etc. Et la similitude Luc.12.c. Item Pro¬
re.1.a. 2.a.b. Iacques.4.a.	re.1.a. 2.a.b. Jacques.4.a.
mens/ auquel gist toute lobseruatiõ	mens/ auquel gist toute l’observation
⁊ accõplissement diceux.	et accomplissement d’iceux.
Escoute Israel/ le Seigneur nostre	Escoute Israel/ le Seigneur nostre
meras le Seigñr ton Dieu/ de tout ton	meras le Seigneur ton Dieu/ de tout ton
coeur/ ⁊ de toute ton ame/ ⁊ de toute ta	coeur/ et de toute ton ame/ et de toute ta
premier cõmandement.	premier commandement.
Tu aymeras ton prochain comme toy¬	Tu aymeras ton prochain comme toy¬
mesme. Il ny a point dautre cõmande¬	mesme. Il n’y a point d’autre commande¬
Matthieu.22.d.	Matthieu.22.d.
toute la loy ⁊ les ꝓphetes. Mat.22.d.	toute la loy et les prophetes. Mat.22.d.
¶ Et le Scribe luy dit.	¶ Et le Scribe luy dit.
il y a un Dieu/ ⁊ nen ny a point dautre	il y a un Dieu/ et n’en n’y a point d’autre
de tout lentendement/ ⁊ de toute lame/	de tout l’entendement/ et de toute l’ame/
⁊ de toute la force: et aymer son ꝓchain	et de toute la force: et aymer son prochain
tions bruslees ⁊ sacrifices. Marc.12.c.	tions bruslees et sacrifices. Marc.12.c.
respõdu sagemẽt/ luy dit.	respondu sagement/ luy dit.
Tu nes point loing du royaume de	Tu n’es point loing du royaume de
¶ Ces deux cõmandemẽs repetez en le¬	¶ Ces deux commandemens repetez en l’e¬
et .3.Moyse.19.d.	et .3.Moyse.19.d.
¶ Sainct Iehan.13.d.	¶ Sainct Jehan.13.d.
uous aymez lun lautre/ comme ie uous ay ayme:	vous aymez l’un l’autre/ comme je vous ay ayme:
cela tous cõgnoistront q̃ uous estes mes disciples/	cela tous congnoistront que vous estes mes disciples/
que uous auez dilection lun a lautre.	que vous avez dilection l’un a l’autre.
Nous donc aymons le: car iceluy premier nous	Nous donc aymons le: car iceluy premier nous
re: il est menteur. Car qui nayme point son frere	re: il est menteur. Car qui n’ayme point son frere
quil uoit/ comment poeut il aymer Dieu/ quil ne	qu’il voit/ comment poeut il aymer Dieu/ qu’il ne
celuy qui ayme dieu/ quil ayme aussi son frere.	celuy qui ayme dieu/ qu’il ayme aussi son frere.
Ne deuez rien a personne: sinon que uous ay¬	Ne devez rien a personne: sinon que vous ay¬
miez lun lautre. Car qui ayme son prochain: il a	miez l’un l’autre. Car qui ayme son prochain: il a
Tu ne occiras point. Tu ne desroberas point.	Tu ne occiras point. Tu ne desroberas point.
uoiteras point. Et sil ya aucun autre comman¬	voiteras point. Et s’il y a aucun autre comman¬
dement: il est sommairement cõpris en ceste parol¬	dement: il est sommairement compris en ceste parol¬
me toymesme. La dilection ne faict au prochain	me toymesme. La dilection ne faict au prochain
dilection.	dilection.
¶ Item Gala.5.c.	¶ Item Gala.5.c.
aymeras ton prochain comme toymesme.	aymeras ton prochain comme toymesme.
La fin du commandement est charite/ de coeur	La fin du commandement est charite/ de coeur
pur/ ⁊ de bonne conscience/ ⁊ de foy non feinte.	pur/ et de bonne conscience/ et de foy non feinte.
en Christ ⁊ par Christ.	en Christ et par Christ.
plir. Matth.5.c.	plir. Matth.5.c.
La loy ne meine rien a perfectiõ: mais est lintro	La loy ne meine rien a perfection: mais est l’intro¬
chons a dieu. Heb.7.c.	chons a dieu. Heb.7.c.
cte ferme/ ⁊ se toute trãsgressiõ ⁊ inobediẽce a receu	cte ferme/ et se toute transgression et inobedience a receu
iuste retributiõ du loyer: cõmẽt euiterõs noꝰ se noꝰ	juste retribution du loyer: comment eviterons nous se nous
ainsi soit quil ayt cõmẽce destre racõte par nostre	ainsi soit qu’il ayt commence d’estre raconte par nostre
ouy/ ⁊ approuue de dieu par signes ⁊ miracles ⁊ di	ouy/ et approuve de dieu par signes et miracles et di¬
uerses puissances ⁊ distributions du sainct esperit	verses puissances et distributions du sainct esperit
La fin de la loy/ est Christ/ en salut a tout	La fin de la loy/ est Christ/ en salut a tout
La loy de lesperit de uie en Iesus Christ/ ma	La loy de l’esperit de vie en Jesus Christ/ m’a
deliure de la loy de peche et de mort. Car ce qui	delivre de la loy de peche et de mort. Car ce qui
infirme par la chair: Dieu a enuoye son filz en si¬	infirme par la chair: Dieu a envoye son filz en si¬
ne le peche en la chair/ affin que la iustification	ne le peche en la chair/ affin que la justification
de la loy fusse accomplie en nous qui ne chemi¬	de la loy fusse accomplie en nous qui ne chemi¬
Romains.8.a.	Romains.8.a.
un/ ⁊ a rõpu la paroy du milieu de la closture/ les	un/ et a rompu la paroy du milieu de la closture/ les
inimitiez/ par sa chair: mettant a neant la loy des	inimitiez/ par sa chair: mettant a neant la loy des
tue deux en soymesme en un hõme nouueau/ fai¬	tue deux en soymesme en un homme nouveau/ fai¬
corps/ par la croix/ destruisant les inimitiez par	corps/ par la croix/ destruisant les inimitiez par
soymesme. Ephe.2.d.	soymesme. Ephe.2.d.
aux Rõmains/ Gala. Ephe. ⁊ Hebr.	aux Rommains/ Gala. Ephe. et Hebr.
peres ⁊ maistres de familles/ affin quilz	peres et maistres de familles/ affin qu’ilz
ꝓposent ⁊ enseignẽt sa loy/ principalle¬	proposent et enseignent sa loy/ principalle¬
Et ces parolles cy/ lesquelles moy	Et ces parolles cy/ lesquelles moy¬
en ton coeur/ ⁊ les racõteras a tes filz/ et	en ton coeur/ et les raconteras a tes filz/ et
leur diras/ toy estant assis en ta maison	leur diras/ toy estant assis en ta maison
⁊ en te leuant. Et les lieras pour signe	et en te levant. Et les lieras pour signe
tre tes yeux/ ⁊ les escriras a lentree de	tre tes yeux/ et les escriras a l’entree de
ta maison/ ⁊ a tes portes. 5.Moy.6.b.	ta maison/ et a tes portes. 5.Moy.6.b.
nuer/ a la loy ⁊ parolle de Dieu/ mais	nuer/ a la loy et parolle de Dieu/ mais
a dextre ou a senestre.	a dextre ou a senestre.
Uous ne adiousterez aux parolles/	Vous ne adjousterez aux parolles/
⁊ nen diminuerez dicelles. 5.Moy.4.a.	et n’en diminuerez d’icelles. 5.Moy.4.a.
mesme ie uous cõmande/ uous les gar¬	mesme je vous commande/ vous les gar¬
derez pour les faire sãs adiouster a icel	derez pour les faire sans adjouster a icel¬
Uous les garderez pour les faire/ cõ¬	Vous les garderez pour les faire/ com¬
de/ sans decliner ne a dextre ne a sene¬	de/ sans decliner ne a dextre ne a sene¬
stre. 5.Moyse.5.d.	stre. 5.Moyse.5.d.
les/ affin quil ne te reprenne/ ⁊ que soye	les/ affin qu’il ne te reprenne/ et que soye
Ia soit que nous/ ou un ange du ciel	Ja soit que nous/ ou un ange du ciel
uous euangelize autrement que ce que	vous evangelize autrement que ce que
malediction. Ainsi que nous auons dit	malediction. Ainsi que nous avons dit
aucun uous euangelize autrement que	aucun vous evangelize autrement que
ce que uous auez receu: il soit en maledi	ce que vous avez receu: il soit en maledi¬
¶ Sur la salutation angelicque/	¶ Sur la salutation angelicque/
Aue maria.	Ave maria.
¶ Pour lintelligẽce de la salutation angelique	¶ Pour l’intelligence de la salutation angelique
articles: ausquelz auras recours. Toutesfoys icy	articles: ausquelz auras recours. Toutesfoys icy
oraison est priere/ requeste et demande faicte enuers	oraison est priere/ requeste et demande faicte envers
dieu: comme/ Ton royaume aduienne/ Donne	dieu: comme/ Ton royaume advienne/ Donne
tation est benediction/ bien uouloir/ et gracieux	tation est benediction/ bien vouloir/ et gracieux
disant: Dieu te salue ⁊ garde. Dieu te doint bon	disant: Dieu te salue et garde. Dieu te doint bon
iour/ ou bon soir/ Paix a toy. Beneit soys tu/ ⁊c.	jour/ ou bon soir/ Paix a toy. Beneit soys tu/ etc.
rie en sainct Luc.1. Item en Daniel.10.b. Item	rie en sainct Luc.1. Item en Daniel.10.b. Item
uers ses apostres. Iehan.20.e. Item S. Paul ⁊	vers ses apostres. Jehan.20.e. Item Sainct Paul et
S. Pierre/ au commencement de leurs epistres.	Sainct Pierre/ au commencement de leurs epistres.
qui pareillement ont este benites	qui pareillement ont este benites
Ioachin le grand prestre uint de Hierusalem	Joachin le grand prestre vint de Hierusalem
en Bethulie auec tous ses prestres pour ueoir Iu¬	en Bethulie avec tous ses prestres pour veoir Ju¬
rent/ disãs tous dune uoix: Tu es la gloire de Hie¬	rent/ disans tous d’une voix: Tu es la gloire de Hie¬
nr̃e peuple: qͥ as ouure uirilement/ et ton coeur a	nostre peuple: qui as ouvre virilement/ et ton coeur a
este conforte/ pour ce que tu as ayme chastete/ ⁊ que	este conforte/ pour ce que tu as ayme chastete/ et que
pourtant aussi ta conforte la main du seigneur: et	pourtant aussi t’a conforte la main du seigneur: et
Et tout le peuple dit: Ainsi soit il: Ainsi soit il.	Et tout le peuple dit: Ainsi soit il: Ainsi soit il.
Iudith.15.d.	Judith.15.d.
Aber Cyneen/ ⁊ soit beneite en son tabernacle.	Aber Cyneen/ et soit beneite en son tabernacle.
Lia dit: Cest pour ma beatitude. Car les fẽmes	Lia dit: C’est pour ma beatitude. Car les femmes
me diront bienheureuse. Geñ.30.b.	me diront bienheureuse. Geñ.30.b.
rain par dessus toutes les femmes/ qui sont sur la	rain par dessus toutes les femmes/ qui sont sur la
¶ Pour laquelle cause la uierge	¶ Pour laquelle cause la vierge
Marie fut dicte bien¬	Marie fut dicte bien¬
Beneite es tu qui a creu: car les choses qui	Beneite es tu qui a creu: car les choses qui
ctes. Luc.1.e.	ctes. Luc.1.e.
¶ Cõment aussi seront bienheureux	¶ Comment aussi seront bienheureux
Bienheureux est le uẽtre qui ta porte: ⁊ les mã¬	Bienheureux est le ventre qui t’a porte: et les mam¬
tes/ bienheureux sont ceux qui oyent la parolle de	tes/ bienheureux sont ceux qui oyent la parolle de
dieu/ ⁊ la gardent. Luc.11.d.	dieu/ et la gardent. Luc.11.d.
enseigner/ ou prendre sa refection.	enseigner/ ou prendre sa refection.
uoꝰ a psalme/ il a doctrine/ il a lãguaige/ ⁊ il a re¬	vous a psalme/ il a doctrine/ il a languaige/ et il a re¬
uelation/ il a interpretation: toute chose soit faicte	velation/ il a interpretation: toute chose soit faicte
Donc soit que uous mangez/ soit que uoꝰ beu¬	Donc soit que vous mangez/ soit que vous beu¬
ctes les toutes/ pour la gloire de dieu. 1.Cor.10.g.	ctes les toutes/ pour la gloire de dieu. 1.Cor.10.g.
Certes lesperit dit manifestement que aux der¬	Certes l’esperit dit manifestement que aux der¬
reille aux esperitz derreur: ⁊ aux doctrines des dia¬	reille aux esperitz d’erreur: et aux doctrines des dia¬
ges ⁊ ont leur consciẽce cauterizee/ defendans soy	ges et ont leur conscience cauterizee/ defendans soy
marier/ cõmandãs de se abstenir des uiandes les¬	marier/ commandans de se abstenir des viandes les¬
ces aux fideles/ ⁊ a ceux qui ont cõgneu la uerite.	ces aux fideles/ et a ceux qui ont congneu la verite.
reiecter de laquelle on use auec actiõ de graces. Car	rejecter de laquelle on use avec action de graces. Car
elle est sanctifiee par la parolle de dieu/ ⁊ par orai¬	elle est sanctifiee par la parolle de dieu/ et par orai¬
Exemple de Christ.	Exemple de Christ.
pit ⁊ le donna a ses disciples ⁊c. Et quãd ilz eurent	pit et le donna a ses disciples etc. Et quand ilz eurent
dit la louenge/ ilz se partirent. Matth.26.c.	dit la louenge/ ilz se partirent. Matth.26.c.
Dieu ayt pitie de nous: ⁊ nous benye/ ⁊ face re¬	Dieu ayt pitie de nous: et nous benye/ et face re¬
la terre ta uoye/ ⁊ entre toutes gẽs tõ salut. ps̈.67.a	la terre ta voye/ et entre toutes gens ton salut. ps̈.67.a
¶ Autre.	¶ Autre.
rolle/ ou en oeuure: faictes les toutes au nom de	rolle/ ou en oeuvre: faictes les toutes au nom de
⁊ au pere par luy. Colos.3.c.	et au pere par luy. Colos.3.c.
¶ Autre.	¶ Autre.
Christ/ qui nous a beneit en toute benediction spiri	Christ/ qui nous a beneit en toute benediction spiri¬
a esleu en luy deuãt la cõstitution du mõde: affin	a esleu en luy devant la constitution du monde: affin
que nous fussions sainctz/ ⁊ sans reprehension/ de¬	que nous fussions sainctz/ et sans reprehension/ de¬
¶ Autre oraison.	¶ Autre oraison.
plus abondãment q̃ ne demandõs/ ne apperceuõs	plus abondamment que ne demandons/ ne appercevons
selon la puissance/ laquelle oeuure en nous: a ice¬	selon la puissance/ laquelle oeuvre en nous: a ice¬
les generatiõs du siecle des siecles. Amẽ. Eph.3.d	les generations du siecle des siecles. Amen. Eph.3.d
biens que auons receu de dieu.	biens que avons receu de dieu.
Quand tu auras mange/ ⁊ que sera repeu: prẽs	Quand tu auras mange/ et que sera repeu: prens
tire du pays Degypte/ de la maison de seruitude.	tire du pays D’egypte/ de la maison de servitude.
¶ Oraison ⁊ louenge apres le repas.	¶ Oraison et louenge apres le repas.
Au roy des siecles/ immortel/ inuisible/ a Dieu	Au roy des siecles/ immortel/ invisible/ a Dieu
cles. Amen. 1.Timothee.1.d.	cles. Amen. 1.Timothee.1.d.
celuy qͥ est assis au throne ⁊ a laigneau eis siecles	celuy qui est assis au throne et a l’aigneau eis siecles
des siecles. Amen. Apocalip.5.d.	des siecles. Amen. Apocalip.5.d.
Louenge ⁊ clairte/ ⁊ sapiẽce/ ⁊ action de graces/	Louenge et clairte/ et sapience/ et action de graces/
siecles. Amen. Apocalip.7.c.	siecles. Amen. Apocalip.7.c.
¶ Generale benediction.	¶ Generale benediction.
enfãs Disrael/ ⁊ leur diras: Dieu te benye/ ⁊ te	enfans D’israel/ et leur diras: Dieu te benye/ et te
de toy/ Dieu uueille tourner sa face uers toy/ ⁊	de toy/ Dieu vueille tourner sa face vers toy/ et
te dõne paix. Ilz inuoquerõt mon nom sur les	te donne paix. Ilz invoqueront mon nom sur les
¶ Autre benedictiõ sur ceux qui gardent	¶ Autre benediction sur ceux qui gardent
Si tu escoute la uoix du Seigñr ton Dieu ⁊c.	Si tu escoute la voix du Seigneur ton Dieu etc.
5.Moyse.28.	5.Moyse.28.
iustice: et toutes choses uous seront adioustees.	justice: et toutes choses vous seront adjoustees.
¶ Fais ce/ ⁊ tu uiuras. Luc.10.	¶ Fais ce/ et tu vivras. Luc.10.
¶ Aduertissement au lecteur/ pour les	¶ Advertissement au lecteur/ pour les
saincte Bible.	saincte Bible.
noms des liures de la Bible/ icy les auons sub¬	noms des livres de la Bible/ icy les avons sub¬
